entityCode,entityName,municipalityCode,municipalityName,avgLat,avgLon,popCenterLat,popCenterLon,13-04-20,14-04-20,15-04-20,16-04-20,17-04-20,18-04-20,19-04-20,20-04-20,21-04-20,22-04-20,23-04-20,24-04-20,25-04-20,26-04-20,27-04-20,28-04-20,29-04-20,30-04-20,01-05-20,02-05-20,03-05-20,04-05-20
20,Oaxaca,457,Santiago Camotlán,17.550760636363638,-96.17171745454544,17.552108,-96.224613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,458,Santiago Comaltepec,17.620500285714282,-96.4186331428571,17.564126,-96.547813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,459,Villa de Santiago Chazumba,18.197013516129033,-97.70709593548386,18.188768,-97.68054,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,460,Santiago Choápam,17.415466,-95.84252739999997,17.492916,-95.760661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,461,Santiago del Río,17.448849666666668,-98.09177116666666,17.455975,-98.08854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,462,Santiago Huajolotitlán,17.817389894736845,-97.70958673684211,17.82665,-97.731767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,463,Santiago Huauclilla,17.475259777777776,-97.06422827777777,17.450841,-97.071527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,464,Santiago Ihuitlán Plumas,17.87514125,-97.448406,17.848474,-97.429743,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,465,Santiago Ixcuintepec,16.916127666666668,-95.59239150000002,16.934806,-95.623106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,466,Santiago Ixtayutla,16.55033197058824,-97.68259752941175,16.565006,-97.651969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,467,Santiago Jamiltepec,16.175670214285716,-97.77661116071428,16.279458,-97.819682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,468,Santiago Jocotepec,17.66885758974359,-95.96765274358972,17.618856,-95.936444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Oaxaca,469,Santiago Juxtlahuaca,17.219179989130442,-97.99864589130432,17.33529,-98.012449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2
20,Oaxaca,470,Santiago Lachiguiri,16.763247197183098,-95.5266795633803,16.686459,-95.532658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
